RankText,Prize,ExchangeRate,CurrencyCode,TournamentName,EndDate,GameId,Note,TeamPlayers,PlayerId,NumOfTournament,Error
1st,17500.0000,1.00000000000,USD,Gamers8 2023 (SC2 Legends),2023-08-05,151,,1,1000,1,
17th-24th,3000000.0000,0.00089630000,KRW,GSL Season 1 2019 (Code S),2019-04-14,151,,1,1000,2,
3rd-4th,20.0000,1.00000000000,USD,Afreeca World Invitational #34,2019-03-23,151,,1,1000,3,
9th-12th,125.0000,1.00000000000,USD,WardiTV Team Liquid Map Contest Tournament 4,2019-02-17,151,,1,1000,4,
3rd-4th,25.0000,1.00000000000,USD,OlimoLeague Week #146,2019-02-12,151,,1,1000,5,
WIN,70.0000,1.00000000000,USD,Gamez Invitational #12: MC vs Zanster,2019-01-13,151,,1,1000,6,
3rd-4th,20.0000,1.00000000000,USD,Afreeca World Invitational #29,2019-01-06,151,,1,1000,7,
WIN,70.0000,1.00000000000,USD,Gamez Invitational #10: MC vs TOP Rematch,2018-12-16,151,,1,1000,8,
LOSE,31.0000,1.00000000000,USD,Gamez Invitational #3: MC vs TOP,2018-10-28,151,,1,1000,9,
17th-24th,3000000.0000,0.00090473170,KRW,GSL Season 2 2016 (Code S),2016-09-10,151,,1,1000,10,
5th-8th,1000.0000,1.00000000000,USD,IEM X - Taipei (SC2),2016-02-02,151,,1,1000,11,
5th-8th,875.0000,1.00000000000,USD,HomeStory Cup XII,2015-12-20,151,,1,1000,12,
2nd,600.0000,1.00000000000,USD,WW3,2015-12-12,151,,1,1000,13,
WIN,100.0000,1.00000000000,USD,Showmatch MC vs. TLO,2015-12-01,151,,1,1000,14,
1st,15000.0000,1.00000000000,USD,Red Bull Battle Grounds - Washington 2015 (Archon Mode),2015-09-19,151,,2,1000,15,
2nd,2490.0000,1.00000000000,USD,Red Bull Battle Grounds - Santa Monica 2015 (Archon Mode),2015-08-30,151,,2,1000,16,
25th-48th,400000.0000,0.00091400000,KRW,GSL Season 2 2015 (Code A),2015-04-17,151,,1,1000,17,
13th-16th,1500000.0000,0.00089788370,KRW,GSL Season 1 2015 (Code S),2015-03-22,151,,1,1000,18,
9th-16th,5000.0000,1.00000000000,USD,WCS 2014 Global Finals,2014-11-08,151,,1,1000,19,
5th-8th,5000.0000,1.00000000000,USD,WCS Europe 2014 Season 3 Premier,2014-10-05,151,,1,1000,20,
