PlayerId,NameFirst,NameLast,CurrentHandle,CountryCode,TotalUSDPrize,ErrorCode,Error
3304,Johan,Sundstein,N0tail,dk,7184163.05,,
3822,Jesse,Vainikka,JerAx,fi,6486623.98,,
30451,Anathan,Pham,ana,au,6024411.96,,
2811,Sébastien,Debs,Ceb,fr,5887342.73,,
18897,Topias,Taavitsainen,Topson,fi,5722674.53,,
15855,Yaroslav,Naidenov,Miposhka,ru,5626952.09,,
70916,Ilya,Mulyarchuk,Yatoro,ua,5398553.55,,
70584,Magomed,Khalilov,Collapse,ru,5394791.67,,
71806,Miroslaw,Kolpakov,Mira,ua,5380579.65,,
3145,Kuro,Takhasomi,KuroKy,de,5291422.93,,
14671,Amer,Al-Barkawi,Miracle-,jo,4889085.26,,
12133,Lasse,Urpalainen,Matumbaman,fi,4873086.24,,
12579,Ivan,Ivanov,MinD_ContRoL,bg,4701434.94,,
2578,Clement,Ivanov,Puppey,ee,4313472.80,,
25335,Maroun,Merhej,GH,lb,4294387.60,,
5195,Ludwig,Wåhlberg,Zai,se,4292756.02,,
79215,Alexander,Khertek,TORONTOTOKYO,ru,4260958.90,,
14196,Sumail,Hassan,SumaiL,pk,4012889.31,,
10712,Yiping,Zhang,y`,cn,3932492.20,,
26665,Chunyu,Wang,Ame,cn,3912904.27,,
26513,Ruida,Zhang,Faith_bian,cn,3847231.98,,
56483,Kyle,Giersdorf,Bugha,us,3647266.72,,
10188,Yao,Lu,Somnus,cn,3311116.16,,
19074,Martin,Sazdov,Saksa,mk,3151808.45,,
4033,Linsen,Xu,fy,cn,3104045.98,,
2615,Saahil,Arora,UNiVeRsE,us,3057237.67,,
5194,Peter,Dager,ppd,us,3029331.36,,
17765,Michał,Jankowski,Nisha,pl,2945537.28,,
3305,Tal,Aizik,Fly,il,2817650.66,,
3524,Gustav,Magnusson,s4,se,2749194.70,,
4028,Artour,Babaev,Arteezy,ca,2690869.91,,
2610,Clinton,Loomis,Fear,us,2564313.19,,
10080,Liangzhi,Hu,KaKa,cn,2548664.19,,
9515,Andreas,Nielsen,Cr1t,dk,2459282.91,,
15708,Neta,Shapira,33,il,2426256.50,,
3254,Jingjun,Wu,Sneyking,us,2414383.32,,
14672,Yazied,Jaradat,YapzOr,jo,2297190.64,,
13080,Aliwi,Omar,w33,ro,2294325.43,,
59528,David,Wang,Aqua,at,2192075.23,,
3883,Peter,Rasmussen,dupreeh,dk,2190664.40,,
3256,Kurtis,Ling,Aui_2000,ca,2073582.54,,
24761,Oliver,Lepko,Skiter,sk,2063346.88,,
3946,Roman,Fominok,Resolut1on,ua,2062483.45,,
16814,Roman,Kushnarev,RAMZES666,ru,2055666.28,,
