"GPI_COUNTRY","GPI_CONTINENT","GPI_CNT_PLAYER_ID","GPI_AVG_GDP_PER_CAPITA","GPI_AVG_POPULATION","GPI_AVG_POPULATION_AGED_15TO29","GPI_CNT_PLAYERS_ON_1MIL_POP","GPI_AVG_SHARE_OF_INDIVIDUALS_USING_INTERNET"
"United States of America","North America",14367,55010.106,307454540.8,63724738.16,46.728859,66.607520458
"Chile","South America",278,20480.95492,16940120.4,4078430.8,16.410745,44.663870283
"Singapore","Asia",433,75318.59032,4932737.4,1050609.88,87.780874,63.49383425
"Puerto Rico","North America",46,32755.17544,3641419.16,768541.52,12.632438,39.160062939
"Bulgaria","Europe",241,16945.56732,7616651.64,1433051.88,31.6412,37.451698008
"Hong Kong","Asia",212,48430.84388,7092754.32,1387916.48,29.889658,63.35351886
"Mexico","North America",396,18417.84108,111000304.08,29776504,3.567558,32.67155604
"India","Asia",499,4198.248168,1217792482,332892458.08,0.409758,9.252753119
"Ireland","Europe",127,61089.70152,4354036.84,934812.48,29.168334,56.336414375
"Ecuador","South America",15,10173.981,14788755.08,4047421.96,1.014284,25.572751653
"Panama","North America",17,21634.65356,3573046.68,921209.68,4.757844,30.896317018
"Jamaica","North America",5,9860.13776,2715884.68,774983.28,1.841021,23.658501034
"Belgium","Europe",362,46952.98872,10834559.88,1993622.64,33.411602,63.21776584
"Kuwait","Asia",30,59914.679458333,2983202.76,680616.72,10.056306,51.139565888
"Luxembourg","Europe",17,108863.70312,512347.2,96444,33.180624,71.65283788
"Paraguay","South America",10,10983.64952,5753472.08,1626273.8,1.738081,26.904711092
"Montenegro","Europe",11,16199.67728,632317.2,138035.2,17.396332,52.528134333
"Madagascar","Africa",1,1524.512396,21378575.76,5895709.32,0.046776,2.424802047
"Canada","North America",2164,44751.17792,33753533.92,6727734.88,64.111805,72.091117792
"New Zealand","Australia and Oceania",161,37799.83056,4336306.72,897238.56,37.12837,69.319518458
"Turkiye","Europe",356,20959.41976,72965808.64,19296438.84,4.878998,35.599451423
"Kyrgyzstan","Asia",28,4049.391416,5513475,1579961.84,5.078467,21.37552483
"Romania","Europe",270,20286.863,20660018.56,4275141.08,13.06872,36.102256015
"Slovakia","Europe",148,23700.02684,5401376.76,1185112.36,27.400422,57.722159032
"Sri Lanka","Asia",8,9434.219476,20303088.4,4988313.76,0.394029,9.078513222
"Pakistan","Asia",92,4118.908228,188505922.8,52808660.36,0.488048,8.132043
"Palestine","Asia",8,5222.604672,3941419.16,1134596.56,2.029726,35.163397519
"Albania","Europe",15,9688.192716,2991843.56,730314.2,5.013631,32.483164258
"Kosovo","Europe",11,9285.256314286,1815104.96,500599.24,6.060256,86.668315
"South Korea","Asia",2422,32545.03436,49022611.84,10714165.88,49.405772,72.55025128
"United Kingdom of Great Britain and Northern Ireland","Europe",2380,42473.0452,62485130.4,12020815.8,38.089062,69.165143917
"Belarus","Europe",155,14521.33502,9884874.48,2050714.96,15.680523,39.785630601
"Portugal","Europe",362,31259.68884,10405946.56,1933170.08,34.787801,46.85578628
"South Africa","Africa",328,12639.58274,51785817.28,14988245.36,6.333781,26.718351792
"Morocco","Africa",38,5922.083332,32164324.48,8845605.96,1.181433,36.604273213
"Kenya","Africa",1,3789.377208,40396298.32,11822737.84,0.024755,8.724820997
"El Salvador","North America",3,7516.881404,6106687.6,1738518.32,0.491265,16.304600351
"Cambodia","Asia",63,2726.462084,14095506.92,3917942.64,4.469509,5.518119989
"Bangladesh","Asia",28,3513.036088,146772671.2,42360068.12,0.190771,6.763163554
"Armenia","Asia",27,8843.53622,2989263.08,738576.64,9.032326,26.854355003
"Macao","Asia",6,92501.706,542378.04,131139.4,11.062395,49.250341858
